nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
ADRIANA MIGUEL VENTURA,F,06/03/1969,92,0,0,75,0,0,"31.565,42","91,69","11.201,41","6,17","12.078,93","2.012,14","3.326,52","2.525,67","-16,36","0,51","338,74","0,00",0,"458.319,07","46.239,34","47.876,22","45.155,54","47.484,47","50.501,69","47.810,20","53.606,39","43.951,57","36.862,01","38.831,64",0,0,"33.763,00",0
BEATRIZ KICIS TORRENTS DE SORDI,F,19/09/1961,89,3,3,56,7,3,"215.925,63","25.190,49","25.724,28","26.105,29","27.799,70","29.874,33","15.473,15","16.116,39","14.243,78","13.146,49","21.381,74","869,99",0,"1.114.049,30","111.271,47","111.271,47","111.271,47","111.271,47","111.271,47","111.538,39","111.538,39","111.538,39","111.538,39","111.538,39",0,0,"33.763,00",1
ALINE PARANHOS VARONIL GURGEL,F,25/11/1980,78,14,11,16,34,7,"424.332,48","42.916,79","55.902,66","41.953,93","40.253,23","74.755,05","10.460,16","40.552,36","44.238,07","50.000,23","23.300,00","0,00",0,"1.109.475,15","111.429,18","111.160,99","111.429,20","111.429,20","111.429,20","111.429,20","111.429,20","111.429,20","109.688,29","108.621,49",0,0,"33.763,00",0
ALESSANDRA SILVA RIBEIRO,F,04/07/1974,82,10,6,54,20,10,"256.412,00","21.847,22","26.068,76","54.557,47","38.257,92","39.369,73","21.249,25","15.093,79","19.228,94","15.225,62","5.513,30","0,00",0,"757.373,84","73.391,76","71.163,83","70.424,23","71.271,43","75.507,41","78.795,10","74.373,30","79.377,41","79.377,41","83.691,96",0,0,"33.763,00",0
ÁUREA CAROLINA DE FREITAS E SILVA,F,20/11/1983,75,17,17,22,10,5,"297.321,47","15.048,10","17.211,99","32.300,99","50.919,99","47.628,80","36.660,42","25.545,07","22.852,05","27.143,68","22.010,38","0,00",0,"1.106.538,10","110.482,87","110.320,03","111.502,08","111.502,08","111.502,08","111.499,25","111.417,08","111.417,08","111.417,08","105.478,47",0,0,"33.763,00",0
BRUNA DIAS FURLAN VICENTE,F,28/04/1983,39,4,0,0,0,0,"75.896,65","12.812,15","15.234,17","17.325,26","17.939,40",0,0,0,"283,61","5.769,80","6.302,20","230,06",0,"986.727,25","102.008,81","103.337,22","104.665,63","85.126,66","89.553,78","105.191,41","111.416,96","104.020,17","87.826,95","93.579,66",0,0,"33.763,00",0
ALICE MAZZUCO PORTUGAL,F,16/05/1959,91,1,0,70,28,0,"379.369,73","64.843,86","35.974,10","45.630,28","30.967,04","44.643,22","33.926,95","26.133,78","37.427,88","27.482,05","32.292,34","48,23",0,"1.103.738,12","109.364,13","110.762,68","110.837,35","110.137,04","110.137,04","110.137,04","110.137,04","110.131,96","111.046,92","111.046,92",0,0,"33.763,00",0
ANGELA REGINA HEINZEN AMIN HELOU,F,20/12/1953,88,4,4,61,1,1,"331.056,32","32.420,59","44.149,40","54.673,99","50.177,80","45.917,82","36.925,47","34.965,84","19.369,26","7.069,38","5.386,77","0,00",0,"1.087.642,74","108.469,01","109.010,60","110.962,23","109.111,95","109.111,95","108.914,61","107.061,71","107.061,71","107.061,71","110.877,26",0,0,"33.763,00",1
BENEDITA SOUZA DA SILVA SAMPAIO,F,26/04/1942,45,47,46,22,33,17,"278.486,52","27.548,63","36.708,62","32.332,80","38.159,47","42.904,22","28.769,87","17.965,43","15.365,95","9.555,15","28.558,54","617,84",0,"1.114.575,79","111.495,90","111.448,24","111.228,98","111.228,98","111.228,98","111.354,55","111.647,54","111.647,54","111.647,54","111.647,54",0,0,"33.763,00",0
ALINE SLEUTJES,F,26/07/1979,81,11,11,25,12,7,"260.137,48","17.590,89","37.246,93","44.589,79","28.504,61","62.024,69","25.909,67","20.829,47","10.742,51","4.466,72","8.102,19","130,01",0,"1.047.581,56","108.562,89","107.823,39","108.054,31","102.862,93","104.407,00","105.903,30","107.141,12","104.241,48","105.514,93","93.070,21",0,0,"33.763,00",0
CARLA ZAMBELLI SALGADO DE OLIVEIRA,F,03/07/1980,79,13,12,10,17,5,"262.306,41","35.310,53","29.972,46","28.196,83","21.729,23","51.011,16","22.816,95","21.987,75","14.571,57","14.918,40","20.785,86","1.005,67",0,"1.095.690,52","111.549,61","111.299,27","110.215,67","105.302,52","108.206,27","105.657,79","108.726,99","111.400,84","111.665,78","111.665,78",0,0,"33.763,00",1
HILKEA CARLA DE SOUZA MEDEIROS LIMA,F,02/07/1976,91,1,0,62,5,0,"304.219,33","24.586,19","44.761,07","52.267,87","31.382,92","38.231,83","32.701,13","15.878,04","19.847,11","8.928,74","35.322,67","311,76",0,"1.112.342,45","111.271,39","111.271,39","111.271,39","111.271,39","111.271,39","110.132,42","111.538,26","111.238,30","111.538,26","111.538,26",0,0,"33.763,00",0
