nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
FERNANDO BEZERRA DE SOUZA COELHO FILHO,M,28/02/1984,81,11,5,6,43,4,"265.195,17","32.904,38","26.191,67","46.599,60","42.640,35","22.991,65","38.141,86","34.943,44","7.902,03","1.389,61","11.490,58","0,00",0,"1.087.816,23","106.461,21","106.461,21","106.461,21","106.461,21","107.548,75","111.277,47","111.277,47","110.295,40","110.786,15","110.786,15",0,0,"33.763,00",0
FREDERICO BORGES DA COSTA,M,12/07/1977,83,9,9,14,6,1,"284.352,33","14.730,30","29.479,43","41.701,41","55.095,45","44.266,74","24.177,23","21.336,08","23.057,48","15.301,98","12.687,52","2.518,71",0,"1.077.826,83","110.167,89","109.305,97","109.305,97","109.305,97","109.563,08","108.452,71","101.554,25","109.006,01","107.977,56","103.926,38",0,0,"33.763,00",0
FLÁVIO RODRIGUES NOGUEIRA,M,27/02/1953,91,1,1,39,4,0,"393.018,11","38.329,27","41.835,51","39.604,13","37.048,37","42.494,03","47.068,00","42.082,62","36.727,61","36.484,39","31.344,18","0,00",0,"1.106.884,69","110.937,69","111.074,66","111.074,66","110.962,76","111.467,18","111.544,27","111.544,27","111.544,27","111.544,27","105.327,63",0,0,"33.763,00",0
FERNANDO RODOLFO TENORIO DE VASCONCELOS,M,17/11/1983,83,9,4,17,54,3,"295.230,86","34.398,75","34.442,45","46.954,27","61.790,50","42.253,99","30.175,92","26.376,10","10.140,69","7.883,19","815,00","0,00",0,"1.015.741,66","110.824,90","109.833,05","109.833,05","104.726,42","110.607,73","107.797,77","106.334,87","77.927,20","90.812,99","88.404,25",0,0,"33.763,00",0
FERNANDO MONTEIRO DE ALBUQUERQUE,M,17/09/1976,87,5,5,17,7,4,"313.976,39","33.166,59","36.756,35","50.815,63","46.090,78","35.207,06","35.106,58","33.522,18","12.348,74","7.355,49","22.923,02","683,97",0,"1.095.114,70","111.665,62","111.451,57","111.451,57","108.833,71","111.665,62","111.665,62","111.665,62","110.146,43","102.361,66","104.196,43",0,0,"33.763,00",1
FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,M,29/05/1991,82,10,10,13,13,3,"280.703,15","39.534,77","31.018,40","49.744,00","46.765,21","50.641,59","43.365,67","18.271,75","239,65","40,19","487,13","594,79",0,"938.905,52","97.669,43","98.853,61","98.853,61","101.434,99","105.314,69","105.934,61","105.601,33","88.221,20","71.613,40","65.419,80",0,0,"33.763,00",0
FRANCISCO RODRIGUES VALE JUNIOR,M,15/03/1969,87,5,3,25,8,2,"309.142,86","17.093,58","30.616,27","50.032,21","33.547,10","38.718,63","30.008,06","31.405,20","20.504,95","10.000,71","26.688,21","20.527,94",0,"1.076.485,10","110.440,58","110.440,58","110.440,58","110.440,58","108.630,41","108.370,30","101.304,39","105.472,56","105.472,56","105.472,56",0,0,"33.763,00",0
FRANCO CARTAFINA GOMES,M,03/11/1986,86,6,3,44,19,4,"317.134,14","28.065,10","33.009,58","43.304,17","45.119,68","52.088,32","34.699,31","22.247,15","51.692,11","4.820,12","2.088,60","0,00",0,"1.112.857,76","110.962,06","110.962,06","110.962,06","110.962,06","111.166,17","111.568,67","111.568,67","111.568,67","111.568,67","111.568,67",0,0,"33.763,00",0
FLAVIANO FLÁVIO BAPTISTA DE MELO,M,17/11/1949,82,10,10,3,1,0,"437.655,10","34.282,68","37.155,36","51.227,13","29.713,90","79.405,70","25.480,53","38.048,40","39.592,10","55.425,57","27.323,73","20.000,00",0,"1.104.480,65","107.904,83","111.367,03","111.367,03","111.659,62","111.659,62","111.659,62","111.659,62","110.227,30","110.179,56","110.179,56",0,0,"33.763,00",0
ANTONIO RIBEIRO,M,03/03/1944,86,6,6,30,18,4,"361.093,35","40.812,78","41.699,11","53.527,13","42.212,73","53.135,08","32.573,14","21.560,81","17.788,85","19.494,29","37.332,36","957,07",0,"1.106.146,52","110.889,19","110.889,19","110.889,19","110.313,55","109.560,78","110.047,86","110.889,19","110.889,19","110.889,19","110.889,19",0,0,"33.763,00",0
GELSON DE AZEVEDO ALMEIDA,M,10/01/1965,88,4,0,17,13,0,"268.046,24","17.208,87","18.142,04","73.589,54","23.955,82","60.671,30","21.380,73","24.088,36","10.719,92","15.215,86","1.858,58","1.215,22",0,"1.112.585,65","111.429,10","111.429,10","111.429,10","111.207,70","111.523,22","111.580,75","111.580,75","111.580,75","111.580,75","109.244,43",0,0,"33.763,00",0
GENECIAS MATEUS NORONHA,M,13/03/1963,58,34,31,0,0,0,"177.557,54","6.912,14","17.143,52","33.463,86","26.327,99","19.477,71","14.497,11","13.104,39","10.260,84","26.907,04","9.462,94","0,00",0,"1.012.113,82","92.989,03","100.534,90","100.534,90","101.430,22","99.984,28","106.905,63","103.040,08","103.040,08","103.040,08","103.040,08",0,0,"33.763,00",0
ELIÉSER GIRÃO MONTEIRO FILHO,M,08/05/1955,85,7,4,47,9,3,"353.477,47","37.148,25","58.184,62","39.315,76","43.316,28","45.230,05","37.619,01","23.969,66","26.317,64","11.139,62","31.236,58","0,00",0,"1.114.542,85","111.550,61","111.550,61","111.550,61","111.550,61","111.550,61","110.587,36","111.550,61","111.550,61","111.550,61","111.550,61",0,0,"33.763,00",0
GERVÁSIO AGRIPINO MAIA,M,14/04/1975,81,11,5,36,19,5,"266.572,24","23.330,03","37.075,33","36.581,92","43.748,87","45.588,36","26.193,97","18.498,45","14.012,00","10.194,19","11.028,08","321,04",0,"1.105.894,42","111.615,50","110.561,62","110.561,62","110.298,77","109.955,04","109.955,04","110.552,62","111.283,45","110.263,58","110.809,92",0,0,"33.763,00",0
EUGENIO JOSÉ ZULIANI,M,13/01/1976,51,41,17,9,54,17,"281.317,44","35.715,90","40.468,18","42.837,22","40.713,17","63.995,25","18.553,55","16.151,75","15.973,11","2.755,29","3.475,52","678,50",0,"1.080.042,52","111.641,38","111.641,38","111.641,38","106.897,30","106.370,18","106.370,18","106.370,18","106.370,18","106.370,18","106.370,18",0,0,"33.763,00",0
FERNANDO LÚCIO GIACOBO,M,17/12/1970,86,6,1,13,8,1,"365.841,43","27.455,42","49.074,18","58.575,31","7.832,83","52.242,70","38.497,82","8.820,58","6.333,82","4.309,92","62.608,85","50.090,00",0,"1.096.371,61","110.392,00","110.699,96","110.699,96","111.659,53","111.616,68","104.856,92","111.659,53","110.779,99","111.160,32","102.457,31",0,0,"33.763,00",0
ROBERTO SEBASTIÃO PETERNELLI JUNIOR,M,06/08/1954,89,3,0,132,21,0,"217.684,66","17.011,69","44.800,56","44.569,19","22.660,96","25.933,02","28.500,81","13.743,54","8.753,72","5.423,58","6.241,24","46,35",0,"730.045,66","67.824,41","70.484,71","70.484,71","74.499,52","79.446,76","86.394,48","95.109,95","76.397,80","54.701,66","54.701,66",0,0,"33.763,00",0
GIOVANI CHERINI,M,23/06/1960,86,6,3,40,16,3,"411.793,60","35.135,42","42.357,46","49.953,41","49.975,70","53.766,31","54.876,19","39.994,44","42.715,35","21.531,51","20.310,87","1.176,94",0,"1.114.323,38","111.574,70","111.574,70","111.574,70","111.574,70","111.574,70","110.520,47","111.205,28","111.574,71","111.574,71","111.574,71",0,0,"33.763,00",0
GILLIANO FRED NASCIMENTO CUTRIM,M,26/10/1979,76,16,5,22,31,4,"399.839,52","46.898,79","47.176,96","48.122,54","51.226,09","58.582,87","18.377,58","25.986,45","21.934,68","12.000,22","69.533,34","0,00",0,"1.115.308,02","111.301,75","111.619,50","111.619,50","111.641,41","111.641,41","111.641,41","111.641,41","111.641,41","111.641,41","111.236,56",0,0,"33.763,00",0
GILSON MARQUES VIEIRA,M,12/04/1981,88,4,4,40,10,5,"50.883,26","3.483,84","5.736,09","5.095,21","6.494,69","11.767,82","7.335,78","6.816,37","1.383,89","3,11","2.766,46","0,00",0,"798.657,16","78.079,20","78.079,20","78.079,20","79.784,92","80.772,44","80.772,44","80.772,44","80.772,44","80.772,44","80.772,44",0,0,"33.763,00",0
